 - "A total of %1 Affiliate&#x20;members have been deleted.","A total of %1 Affiliate&#x20;members have been deleted."
 - "Add New Affiliate&#x20;member","Add New Affiliate&#x20;member"
 - "Affiliate Members","Affiliate Members"
 - "Affiliate members","Affiliate members"
 - "Affiliate&#x20;member Information","Affiliate&#x20;member Information"
 - "Affiliate&#x20;members","Affiliate&#x20;members"
 - "An error occurred while deleting Affiliate&#x20;members.","An error occurred while deleting Affiliate&#x20;members."
 - "Are you sure you wan't to delete selected Affiliate&#x20;members?","Are you sure you wan't to delete selected Affiliate&#x20;members?"
 - "Are you sure you wan\'t to delete the Affiliate&#x20;member ""${ $.$data.name }"" ?","Are you sure you wan\'t to delete the Affiliate&#x20;member ""${ $.$data.name }"" ?"
 - "Are you sure you want to do this?","Are you sure you want to do this?"
 - "Back","Back"
 - "Could not save the Affiliate&#x20;member: %1","Could not save the Affiliate&#x20;member: %1"
 - "Create New Affiliate member","Create New Affiliate member"
 - "Created","Created"
 - "Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
 - "Delete Affiliate&#x20;member","Delete Affiliate&#x20;member"
 - "Delete Affiliate&#x20;members","Delete Affiliate&#x20;members"
 - "Delete","Delete"
 - "Edit Affiliate&#x20;member","Edit Affiliate&#x20;member"
 - "Edit","Edit"
 - "ID","ID"
 - "Manage Affiliate&#x20;members","Manage Affiliate&#x20;members"
 - "Name","Name"
 - "New Affiliate&#x20;member","New Affiliate&#x20;member"
 - "Please correct the data sent.","Please correct the data sent."
 - "Profile Image","Profile Image"
 - "Profile&#x20;Image","Profile&#x20;Image"
 - "Requested Affiliate&#x20;member doesn\'t exist","Requested Affiliate&#x20;member doesn\'t exist"
 - "Reset","Reset"
 - "Save Affiliate&#x20;member","Save Affiliate&#x20;member"
 - "Save and Continue Edit","Save and Continue Edit"
 - "Something went wrong while saving the Affiliate&#x20;member.","Something went wrong while saving the Affiliate&#x20;member."
 - "Status","Status"
 - "The Affiliate&#x20;member has been deleted.","The Affiliate&#x20;member has been deleted."
 - "The Affiliate&#x20;member no longer exists.","The Affiliate&#x20;member no longer exists."
 - "There was a problem deleting the Affiliate&#x20;member","There was a problem deleting the Affiliate&#x20;member"
 - "There was a problem saving the Affiliate&#x20;member","There was a problem saving the Affiliate&#x20;member"
 - "Unable to remove Affiliate&#x20;member %1","Unable to remove Affiliate&#x20;member %1"
 - "Updated","Updated"
 - "We can\'t find a Affiliate&#x20;member to delete.","We can\'t find a Affiliate&#x20;member to delete."
 - "You saved the Affiliate&#x20;member","You saved the Affiliate&#x20;member"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Affiliate member %1","Affiliate member %1"
"Affiliate member to delete was not found.","Affiliate member to delete was not found."
"Affiliate member","Affiliate member"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Please Select Affiliate members.","Please Select Affiliate members."
"Something went wrong while saving the Affiliate member.","Something went wrong while saving the Affiliate member."
"The Affiliate member has been deleted.","The Affiliate member has been deleted."
"The Affiliate member has been saved.","The Affiliate member has been saved."
"This Affiliate member no longer exists.","This Affiliate member no longer exists."
